customer_id,name,email,phone,city,signup_date,segment
98,Gail Hines,plevy@example.net,372.252.2872x8080,Taylorbury,2025-09-02,VIP
99,Chris Robinson,nbrooks@example.net,+1-697-270-0886x00848,Drakeburgh,2024-10-02,Regular
100,Brent Hernandez,christineking@example.com,361-856-7933x410,Browntown,2024-04-28,Regular
101,Angela Bruce,ariel18@example.org,239.474.0148,Alexisborough,2026-03-31,Premium
102,Nicole Marquez,thickman@example.org,001-739-268-5621,Port Charles,2023-05-05,Regular
103,Lisa Larson,anthony47@example.com,658.566.2961,West Ericberg,2025-06-28,Premium
104,Emily Rodriguez,,821-326-7888,Angelamouth,2023-02-03,VIP
105,Alexandria Gutierrez,hardyanita@example.org,001-982-462-2444,Hillport,2023-03-22,Premium
106,Mr. David Wright,mwheeler@example.com,924-706-5965,West Malik,2024-07-03,VIP
107,Christina Edwards,snovak@example.net,001-479-235-6465x193,Hahnborough,2026-05-01,Regular
108,Eddie Schwartz,ichambers@example.net,834-226-6179x7968,Jacquelineside,2025-10-05,Premium
109,Suzanne Rodriguez,,+1-509-965-6101x438,Bartonshire,2024-04-22,VIP
110,Brittany Cuevas,agarcia@example.org,725-945-7387,Floresport,2023-05-05,VIP
111,Michael Johnson,deborah23@example.net,(482)458-6736,Fosterborough,2025-03-28,Premium
112,  JEFFREY SMITH  ,jamiegoodwin@example.org,001-618-925-5371,Candicefurt,2024-11-04,Premium
113,Hannah Bruce,lisamccarthy@example.com,+1-891-825-1341x252,Hendersonfort,2025-01-31,Premium
114,  MELISSA BREWER  ,angelaburns@example.org,(557)890-5072,Ortizfort,2026-05-14,Regular
115,Ryan Burns,cunninghamlaura@example.org,304-638-4279x7881,Amberton,2025-09-16,Regular
116,Jessica Robinson,pgarcia@example.org,807-445-1713x3959,Port Jamie,2025-02-25,Premium
117,Gregory Campbell,mariopadilla@example.com,001-448-512-6042,Mariafurt,2023-07-06,Regular
118,Kenneth Adams MD,yjones@example.org,(884)557-7590x1751,South Joseph,2026-05-20,Premium
119,Gail Lane,rkramer@example.org,8175012770,Lake Kevin,2026-06-24,Regular
120,Sherri Davis,john52@example.org,(943)261-1037x1293,Lisachester,2023-01-11,Premium
121,Karen Perez,crosscurtis@example.com,(942)762-2189x092,South Christina,2025-07-10,Regular
122,Daniel Mosley,,(665)223-4138x999,Jamiehaven,2025-12-17,Premium
123,James Lucas,troyrodriguez@example.com,+1-491-980-5526x9658,North Brendatown,2026-05-02,Premium
124,Andrew Brown,ohunter@example.net,566.461.8892x41418,Willisland,2024-11-15,VIP
125,Jeffrey Ashley,brianmiller@example.com,479-290-4210,Alexandraview,2023-07-29,Premium
126,Cameron Norman,jessica10@example.com,(448)714-9177x85079,New Emilyville,2023-07-20,Regular
127,Jordan Williams,sanchezthomas@example.com,(720)686-3536,Davidton,2025-11-19,Premium
128,Robert Jarvis,djones@example.com,001-945-718-7053x49493,Cuevasborough,2025-01-24,Premium
129,  KIMBERLY FLYNN  ,adamortiz@example.org,+1-550-850-6413,East Jenniferland,2024-09-19,VIP
130,David Bruce,xhaynes@example.com,001-519-618-2619x9062,Sarafurt,2023-11-30,Regular
131,Nancy Stewart,jesus32@example.net,721-527-7561,Bakerville,2024-07-30,Premium
132,Robert Torres,lewismelissa@example.org,235-868-0442,North Steven,2025-12-26,Regular
133,Brenda Smith,davidcolon@example.com,+1-219-994-1013x72151,Underwoodfurt,2023-03-06,VIP
134,James Simmons MD,joshuagriffin@example.org,9992934768,Taylorborough,2023-04-22,VIP
135,Rebecca Wright,mayokimberly@example.com,587.259.8564x2059,Brianfort,2026-02-16,Premium
136,Pamela Key,craigsandoval@example.com,+1-703-796-5223,Lake Jackieshire,2026-03-12,Regular
137,Kristine Lopez,lweaver@example.com,2107393087,Port David,2026-03-17,VIP
138,Tamara Richard,brian29@example.net,(718)651-5691,Lake Stacy,2024-02-16,Regular
139,Toni Banks,jasminehoffman@example.net,(239)426-4422x096,Lake Ariana,2025-02-07,Regular
140,Brenda Mcgee,michaelflores@example.net,,South Samuelchester,2025-07-08,Premium
141,Stacey Snyder,ybell@example.org,793.427.1040x5411,Lake Charles,2026-02-07,Premium
142,Vanessa Morgan,bbush@example.net,(896)620-1533,Johnton,2025-04-22,Regular
143,Joshua Henry,wardronald@example.com,+1-997-931-0324x17146,Christopherside,2026-02-15,Regular
144,Jacob James,seanbaker@example.com,534-290-2115x869,Sheppardfort,2025-12-08,VIP
145,Cynthia Evans,torr@example.org,898.399.2172x23320,Harrisberg,2026-06-15,VIP
146,Deanna Bartlett,millerangela@example.net,348-370-9986x16229,Port Justinside,2024-12-18,Premium
147,Sherry Baker,earmstrong@example.org,(746)529-9606,Mccallstad,2023-03-04,Regular
148,Robert Turner,megan13@example.org,,North Larry,2024-10-19,VIP
149,Brandy York,,9308705345,Lake Anthonystad,2025-03-21,Premium
150,Jeremy Horne MD,max41@example.com,6608293333,South Rhondaburgh,2024-10-16,Regular
151,Alejandra King,jennifer46@example.com,(774)637-4896x910,South Calebview,2024-01-16,VIP
152,Shannon Green,jacob83@example.org,+1-565-720-7446x660,Lake Amanda,2025-07-16,Regular
153,Susan Powers,megan82@example.com,772-548-2513,Robertmouth,2025-08-07,Premium
154,Kevin Ford,ruizmichelle@example.net,001-691-873-8168,East Victoria,2023-03-10,Premium
155,William Orozco,tthomas@example.org,001-917-352-5007x43292,Schultzfurt,2023-06-15,Premium
156,John Smith,jessicadodson@example.com,001-683-400-3354x21689,West Stacymouth,2023-03-25,VIP
157,Linda Morgan,matthewvalenzuela@example.com,,Kelseyton,2024-04-23,VIP
158,Amber Rodriguez,,(418)847-2304x6184,New Jenniferville,2025-11-25,VIP
159,Richard Jimenez,kimberlydecker@example.org,(264)320-8737x530,Hernandezland,2026-03-03,Premium
160,Angela Cummings,dawn74@example.com,201.420.4556x110,West Michael,2025-04-26,Regular
161,Marco Johns,watsonmatthew@example.org,(867)946-7621x2021,Whitefurt,2025-10-20,Regular
162,Lisa Huffman,,301.845.0899x358,South Michael,2025-04-24,VIP
163,  JANICE COMBS  ,smithsarah@example.net,872.817.5354x0838,South Seanshire,2025-11-08,Premium
164,Scott West,hooperjulie@example.org,666-508-8019,Clementsstad,2025-04-15,Premium
165,Ruth Richard,ann99@example.com,001-757-311-3055x488,South Donald,2023-02-28,VIP
166,Mikayla Rodriguez,jacobconrad@example.com,973.951.6091,South Adam,2025-04-20,Premium
167,Kristen Reynolds,XGLASS@EXAMPLE.ORG,001-592-621-6995x866,Taramouth,2024-05-22,VIP
168,Brenda Morrison,megan85@example.net,001-383-733-9452x2885,Craigside,2024-12-18,Premium
169,Ryan Stokes,johnsondustin@example.net,5342244204,Garciaside,2024-04-02,Regular
170,Natalie Hoffman,williamrobles@example.net,506-766-5800x4397,Port Jenny,2025-08-21,VIP
171,Jerry Lucero,lopezglenn@example.net,660-264-8422,North Eric,2024-02-26,VIP
172,Anthony Randolph,tracy98@example.com,858-832-8182,East Elizabeth,2023-04-28,Regular
173,Edward Clements,wbarajas@example.net,,South Jonathanport,2026-03-14,VIP
174,Jose Townsend,stucker@example.net,358.511.2880,Port Gina,2025-05-05,VIP
175,Christine Poole,elucas@example.net,+1-520-675-0110x24819,Mccoychester,2024-06-04,Premium
176,James Wilson,maychristine@example.net,001-301-658-1449,Jamestown,2025-09-03,Regular
177,Joseph Taylor,,+1-824-350-8821x0099,Jasonhaven,2024-01-24,Premium
178,Clinton Jensen,james29@example.org,001-487-581-4141x39755,East Louismouth,2023-05-08,Premium
179,Matthew Steele,arianadiaz@example.com,(720)653-3645x25777,East Debbieland,2024-09-13,Regular
180,  SHANNON TAYLOR  ,josemercado@example.org,001-910-480-9969x3084,Port Brittany,2024-04-11,Premium
181,Brandi Mason,sanderswayne@example.net,492.982.7229,East Kathleenbury,2026-04-13,VIP
182,Jacob Williams,aprilmoody@example.com,870.805.1844x9892,New Johnbury,2024-04-11,VIP
183,Heather Parrish,msparks@example.org,327.523.1843x22259,Jenniferfort,2024-06-13,VIP
184,Karen Garza,,001-492-628-0920,Greeneshire,2026-03-23,VIP
185,Sherry Luna,stacey37@example.net,772.936.9292x9842,East Nicholasberg,2025-01-31,Regular
186,Dale Heath,mserrano@example.org,(979)490-8811,Port Erikachester,2026-02-24,Regular
187,Jacqueline Williams,zperez@example.com,001-865-699-1624x73149,New Alexandrahaven,2023-08-30,Regular
188,Matthew Watts,robert12@example.com,+1-994-448-6959x4636,Kingport,2024-04-17,VIP
189,Patricia Sanders,melissahopkins@example.net,272.413.8658,Port Christopherberg,2024-05-11,Premium
190,Kyle Davis,jeffrey19@example.org,001-666-598-4902x7703,New Gavin,2023-02-12,Premium
191,David Smith,christopherhill@example.com,(766)793-8011x848,Jeremyborough,2026-05-14,Premium
192,Jared Smith,richardrodriguez@example.org,745.918.4894x76973,South Darrenland,2025-05-19,Premium
193,Richard Robinson,laurengutierrez@example.com,780.543.4165x18275,Ianborough,2026-02-15,Premium
194,Mr. Nicolas Salas II,maryhuff@example.com,(911)717-9080,Villanuevashire,2025-03-02,Regular
195,Katherine Joyce,raymond92@example.org,267.280.8562x71875,Carpentermouth,2025-05-10,Regular
196,Scott Lopez,joel79@example.com,(427)563-6556x472,Lindaside,2025-11-04,VIP
197,James Thomas,thomassmith@example.com,428.285.7448x9061,Thomasville,2023-10-02,Premium
198,George Ward,maurice61@example.com,+1-893-699-8245x58771,Port Gary,2024-08-14,Regular
199,Gail Welch,esweeney@example.org,(653)955-4496,Juliehaven,2025-09-23,Regular
200,Jennifer White,,001-313-326-1117x8006,North Diana,2023-12-01,Premium
201,Ellen Wright,scott22@example.net,(900)455-7784,New Carla,2026-05-22,Premium
202,Madison Elliott,regina78@example.org,274-456-4240,Nicholsfort,2024-03-14,Premium
203,Karen Smith,myates@example.org,4858368663,West Christian,2025-11-23,Premium
204,Kellie Marsh,justin84@example.com,612.924.1797,East Brandonside,2023-08-28,Premium
205,William Campbell,jenniferacosta@example.org,720-973-5647,West Christopherberg,2025-06-08,VIP
206,Reginald Jones,qwhite@example.com,,Sharonburgh,2024-08-26,Regular
207,Amanda Pineda,kingdanielle@example.org,(803)513-6502x491,New Kristenfort,2023-01-12,VIP
208,  BRITTNEY TOWNSEND  ,ericdavis@example.net,500-252-8127x35857,Jenniferview,2025-05-29,Premium
209,Karina Kim,amy73@example.net,(385)457-4982,Ambermouth,2024-07-27,VIP
210,Mark Gray,nicoleharvey@example.com,001-793-851-8638x78294,North Alexandraland,2025-03-28,Premium
211,Todd White,harristodd@example.org,7965789940,North Sarahborough,2025-02-12,Regular
212,Tanya Collier,dowen@example.com,+1-665-309-4801,North Jessicaside,2026-04-20,Regular
213,Corey Sandoval,angelagrant@example.net,895-776-1228,Mahoneymouth,2025-04-19,VIP
214,Yesenia Kirk,bduran@example.net,293-698-3684x57760,West Adam,2025-01-30,Regular
215,Mrs. Emily Ingram,samantha88@example.net,001-721-507-5224,Christopherfurt,2023-10-25,VIP
216,Claudia Jones,laura27@example.net,001-891-894-0961x055,Port Kayleetown,2026-04-01,Regular
217,Lynn Brown,floresannette@example.com,432.406.7998x13646,Duncanton,2024-03-04,Regular
218,Deborah Ross,iayala@example.org,683.876.9389x8331,North Emilychester,2024-02-17,Premium
219,Connor Cooper,carrillogary@example.com,+1-279-527-0335x211,Port Marissa,2026-04-25,Regular
220,Greg Brock,shannon05@example.org,001-283-638-8487x9206,Jamesview,2023-08-06,Regular
221,Matthew Smith,QGUERRERO@EXAMPLE.NET,(310)446-3681x579,Castrotown,2023-09-11,Regular
222,Thomas Torres,klong@example.org,(655)543-8404x608,Sandovalland,2023-07-13,Regular
223,Kelly Gregory,robertberry@example.com,495-878-2329x8324,Lake Sarah,2026-06-24,Regular
224,Emily Grant,whitemary@example.org,001-205-666-4742x3122,New Jesse,2025-02-11,Regular
225,Heather Watts,manderson@example.com,001-252-667-7223x306,Lake Emily,2026-04-27,VIP
226,Daniel Thompson,fcamacho@example.net,273-366-0965x69998,East Aprilfurt,2024-07-30,Premium
227,Mrs. Jasmine Hubbard,leescott@example.com,001-347-426-4908x27718,South Robert,2025-09-20,VIP
228,Christopher Garza,nicoledavis@example.com,001-421-811-7518x689,Port Georgemouth,2024-12-03,Premium
229,Mary Hernandez,haroldjoseph@example.com,947-942-1230x9407,New Nicolebury,2024-11-24,Premium
230,Matthew Chavez,mmiller@example.org,284.798.3022,Lake Belindaport,2023-02-16,Premium
231,Brandon Rodriguez,evanmitchell@example.net,001-799-882-7950x145,Bridgesland,2025-11-12,VIP
232,Chad Neal,mark68@example.org,001-739-601-9817x946,Sarashire,2024-11-01,VIP
233,Nicholas Jimenez PhD,jeanettekrause@example.org,707-713-9660,North Danielle,2024-12-16,Regular
234,Dawn Jones,william50@example.org,+1-455-969-9023x55770,Mcclainside,2023-07-18,Premium
235,Julia Olsen,conleykevin@example.net,+1-858-480-3955x12405,Lopezville,2024-12-29,Premium
236,Nicole Thornton,jennifer46@example.org,335.974.3842x1503,Steinberg,2024-10-07,Regular
237,Thomas Oconnor,kimberly21@example.net,+1-923-207-6810x40915,Andrewport,2023-05-12,VIP
238,Christine Gonzalez,joshua57@example.net,342-524-1098,Josephport,2024-11-23,Premium
239,Carolyn Collins,amber02@example.org,701.660.1662x9979,Lake Katherine,2024-02-29,VIP
240,Angela Livingston,fbradley@example.net,817.447.7332x945,Kristinamouth,2025-06-11,VIP
241,Andre Alvarez,timothy24@example.com,+1-992-881-6158x148,New John,2025-01-23,VIP
242,John Jones,lisagarza@example.com,001-958-732-1971,Thompsonfurt,2024-12-09,VIP
243,Brian Cervantes,pmurphy@example.net,6138290227,Gonzalezmouth,2025-02-24,Regular
244,Robert Frazier,WROBBINS@EXAMPLE.ORG,001-209-286-2405,Danielport,2025-06-16,Premium
245,Cynthia Park,tgarrett@example.com,(466)683-2723x8656,East Alexander,2026-06-26,Regular
246,Brianna Dyer,iproctor@example.org,(867)996-9278,East Roger,2024-05-05,Regular
247,Jonathan Simon,robert89@example.com,4096751971,New Pamelaland,2024-08-16,Regular
248,Mark Alvarado,suttonamber@example.net,790-658-0778x7956,Lake Sandraport,2024-01-05,Regular
249,Kristy Brown,klane@example.org,+1-649-604-7128x14429,Lake Danielburgh,2025-12-30,Regular
250,Nancy Hopkins,lindsey43@example.com,(880)851-2927,Barberburgh,2023-10-31,Premium
251,Nicholas Reed,karla10@example.org,867.247.8366x742,Reyesmouth,2024-01-04,VIP
252,Melanie Williams,stephanie69@example.net,754-441-4967x393,Lake Alanland,2024-02-04,Premium
253,Brent Garcia,ubell@example.com,330-409-1093x911,North Heather,2024-04-24,Regular
254,John Mayer,rlivingston@example.com,001-654-421-4066x504,Krauseborough,2024-07-16,Premium
255,Cassandra Vasquez,amberreynolds@example.net,+1-417-241-0119x4707,Adamsmouth,2026-04-05,VIP
256,Laura Robertson,zmendoza@example.net,001-218-330-6719x85546,Christophermouth,2024-04-11,Regular
257,Donna Harris,poncedonna@example.com,001-561-957-1732x030,Victormouth,2024-05-11,Premium
258,Alexis Morgan,kristin06@example.org,487.982.9310,Meadowston,2025-04-14,Premium
259,Matthew Smith,conwaylori@example.org,592.891.1179x931,Nguyenshire,2024-03-06,Premium
260,Erica Oconnell,kathrynwatkins@example.com,914-526-2582,East Craigfurt,2026-03-27,VIP
261,Alexis Tucker,smithsara@example.net,+1-494-267-2324x8763,Salazarland,2025-01-30,Regular
262,Rachel Bailey,grantjames@example.net,295-588-3734,Lake Megan,2023-05-24,Premium
263,Kathleen Moore,brownmichael@example.org,(345)397-0108x22078,Watkinsmouth,2026-02-16,Regular
264,Paul Villanueva,kimberlynguyen@example.org,263.863.1797,Thompsonstad,2023-07-04,VIP
265,Nathan Chen,james20@example.net,001-704-521-7762,Port Laura,2026-02-05,VIP
266,Susan Lane,christophervincent@example.com,797.874.0633,New Rachel,2025-01-09,VIP
267,Andrew Esparza,simmonsphillip@example.net,477-731-8063,North Timothyport,2024-01-13,Premium
268,Joe Hudson,braysteven@example.org,001-862-657-0165x804,Port Gail,2025-06-09,Regular
269,Gabriela Randolph,pamela16@example.com,590.355.2818x325,Port Julie,2025-04-08,Premium
270,Harold Adams,eramirez@example.com,(777)388-1788x479,Millerfurt,2023-08-29,VIP
271,Donna Frye,martindaniel@example.org,223.680.4682x7567,Port Lauriehaven,2023-08-30,VIP
272,Jennifer Cooper,todd88@example.com,449.724.2437x540,New Sandra,2023-12-29,Premium
273,Dominique Mcpherson,evanwilson@example.com,001-727-745-2380,Fernandezburgh,2023-07-08,Premium
274,Barbara Johnson,dmack@example.com,(408)985-4749,Lake Timothyton,2024-03-08,VIP
275,Juan Parker,owilliamson@example.com,(315)909-3983x430,New Prestonfort,2025-05-13,Premium
276,Larry Harding,raymond65@example.com,(904)655-4781x376,Chandlerchester,2023-07-28,Regular
277,Kevin Miller,kevinmcneil@example.net,519-461-0646x28792,Angelaton,2025-11-27,VIP
278,Elizabeth Richards,dhansen@example.org,4029447146,North David,2026-03-03,VIP
279,Zachary Jones,bianca96@example.com,+1-971-458-9042x9025,West Michaelstad,2024-04-01,Premium
280,Eddie Fowler,palmerkatie@example.org,001-419-228-5544x51895,Nathanfort,2023-06-24,VIP
281,Thomas Martin,ericwalker@example.org,+1-398-488-1671,Baileystad,2026-03-24,Regular
282,Jeremy Huerta,GERALD40@EXAMPLE.NET,332-823-4232,North Andrewfort,2025-05-31,VIP
283,Amanda Rodriguez,harrisonrebekah@example.org,440-711-9393,Port Julie,2023-02-07,Premium
284,Kevin Bell,williamjones@example.net,001-408-933-4280x13875,East Maryfurt,2025-05-09,Regular
285,Jose Russell,david18@example.org,654.980.1571x6479,Robertschester,2023-10-16,VIP
286,Benjamin Randall,xcrosby@example.org,8718678112,Lake Saraburgh,2025-06-05,Premium
287,William Morgan,bmartinez@example.net,449.994.6579x6784,Tracybury,2023-05-18,Regular
288,Brandy Garcia,,(369)952-4991,West Ebony,2025-10-08,Premium
289,Dennis Cooper PhD,cisnerosanthony@example.com,467-656-7700,South Ryan,2026-02-02,VIP
290,James Gallagher,rkeller@example.net,001-977-882-8064,Katieport,2025-02-26,Premium
291,Alfred Williams,michael90@example.net,361-365-5650x33349,West Geoffreyside,2026-01-13,VIP
292,Joel Boyer,sadams@example.com,001-905-369-6591,West Tyler,2025-05-31,Premium
293,Mary Jackson,michael63@example.com,+1-318-734-4049x6391,Simmonsstad,2023-12-15,VIP
294,Marisa Turner,ryan85@example.org,(964)698-7820x82973,Michaelton,2026-04-10,VIP
295,Helen Hernandez,juliecannon@example.com,(451)536-4424x93631,Stevenside,2023-02-05,Regular
296,Jennifer Bullock MD,derek44@example.net,+1-620-370-0159,Mosleyland,2026-02-23,Premium
297,Ryan Cameron,danielnavarro@example.org,898.547.1391x55963,East Tara,2023-07-04,Regular
